ENSG00000279928	FO538757.1	Gene Expression
AP006222	AP006222	Gene Expression
RP11-206L10	RP11-206L10	Gene Expression
ENSG00000230368	FAM41C	Gene Expression
ENSG00000188976	NOC2L	Gene Expression
RP11-54O7	RP11-54O7	Gene Expression
ENSG00000187608	ISG15	Gene Expression
ENSG00000188157	AGRN	Gene Expression
ENSG00000131591	C1orf159	Gene Expression
ENSG00000186827	TNFRSF4	Gene Expression
ENSG00000078808	SDF4	Gene Expression
ENSG00000176022	B3GALT6	Gene Expression
ENSG00000160087	UBE2J2	Gene Expression
ENSG00000162572	SCNN1D	Gene Expression
ENSG00000131584	ACAP3	Gene Expression
ENSG00000169972	PUSL1	Gene Expression
CPSF3L	CPSF3L	Gene Expression
ENSG00000224051	CPTP	Gene Expression
ENSG00000107404	DVL1	Gene Expression
ENSG00000175756	AURKAIP1	Gene Expression
ENSG00000221978	CCNL2	Gene Expression
ENSG00000242485	MRPL20	Gene Expression
ENSG00000215915	ATAD3C	Gene Expression
ENSG00000160072	ATAD3B	Gene Expression
ENSG00000197785	ATAD3A	Gene Expression
ENSG00000160075	SSU72	Gene Expression
RP5-832C2	RP5-832C2	Gene Expression
C1orf233	C1orf233	Gene Expression
RP11-345P4	RP11-345P4	Gene Expression
ENSG00000197530	MIB2	Gene Expression
ENSG00000248333	CDK11B	Gene Expression
RP11-345P4.1	RP11-345P4.1	Gene Expression
ENSG00000189339	SLC35E2B	Gene Expression
ENSG00000008128	CDK11A	Gene Expression
ENSG00000008130	NADK	Gene Expression
ENSG00000078369	GNB1	Gene Expression
ENSG00000178821	TMEM52	Gene Expression
ENSG00000067606	PRKCZ	Gene Expression
ENSG00000162585	FAAP20	Gene Expression
ENSG00000157933	SKI	Gene Expression
ENSG00000157916	RER1	Gene Expression
ENSG00000157911	PEX10	Gene Expression
ENSG00000273494	PANK4	Gene Expression
RP3-395M20	RP3-395M20	Gene Expression
RP3-395M20.1	RP3-395M20.1	Gene Expression
ENSG00000273936	TNFRSF14	Gene Expression
ENSG00000275125	PRXL2B	Gene Expression
ENSG00000162591	MEGF6	Gene Expression
ENSG00000158109	TPRG1L	Gene Expression
ENSG00000116213	WRAP73	Gene Expression
ENSG00000227372	TP73-AS1	Gene Expression
ENSG00000130764	LRRC47	Gene Expression
ENSG00000116198	CEP104	Gene Expression
ENSG00000169598	DFFB	Gene Expression
ENSG00000198912	C1orf174	Gene Expression
ENSG00000196581	AJAP1	Gene Expression
ENSG00000131697	NPHP4	Gene Expression
ENSG00000069424	KCNAB2	Gene Expression
ENSG00000116251	RPL22	Gene Expression
ENSG00000116237	ICMT	Gene Expression
ENSG00000158292	GPR153	Gene Expression
ENSG00000097021	ACOT7	Gene Expression
ENSG00000215788	TNFRSF25	Gene Expression
ENSG00000171680	PLEKHG5	Gene Expression
ENSG00000162408	NOL9	Gene Expression
ENSG00000204859	ZBTB48	Gene Expression
ENSG00000162413	KLHL21	Gene Expression
ENSG00000116273	PHF13	Gene Expression
ENSG00000041988	THAP3	Gene Expression
ENSG00000007923	DNAJC11	Gene Expression
ENSG00000171735	CAMTA1	Gene Expression
ENSG00000049245	VAMP3	Gene Expression
ENSG00000049246	PER3	Gene Expression
