stable_nodes_name;occurence;inputs
GNA12_GNA13_complex_TH1___cytoplasm;1;
GNAI_GNB_GNG_complex;1;
GNAI_TH1___cytoplasm;1;
GNAI_TH1___cytoplasm_active;1;
GNAI3_Fibroblast___Cytoplasm;1;
GNAI3_M1_macrophage___Cytoplasm;1;
GNAI3_M2_macrophage__cytoplasm;1;
GNB_GNG_complex_M1_macrophage___Cytoplasm;1;
GNB_GNG_complex_M2_macrophage__cytoplasm;1;
GNB_GNG_complex_TH1___cytoplasm;1;
GNB_GNG_GNAI3_complex_M1_macrophage___Cytoplasm;1;
GNB_GNG_GNAI3_complex_M2_macrophage__cytoplasm;1;
Grb2;1;
GRB2_Fibroblast___Cytoplasm;1;
GRB2_TH1___cytoplasm;1;
GSK3B;0;
GSK3b_APC_AXIN1_CK1A_complex;1;
GSK3b_APC_AXIN1_CTNNB1_CK1A_complex;1;
HBEGF;1;
HBGEF_EGFR_complex;1;
HBGEF_M1_macrophage___Secreted_components;1;
HBGEF_M2_macrophage__secreted_components;1;
HCK;1;
HES1_rna;1;
hes1_rna;1;
HEY1_rna;1;
HIF1_complex;1;
Hif1a;1;
Hif1b;1;
HLA_B;1;
HLA_B_LILRB1_complex_M1_macrophage__Cytoplasmic_membrane_up;1;
HLA_B_LILRB1_complex_M2_macrophage__cytoplasmic_membrane_up;1;
HLA_DP_DQ_DR_LAG3_complex;1;
HLA_DP_DQ_DR_M1_macrophage__Cytoplasmic_membrane_down;1;
HLA_DP_DQ_DR_M2_macrophage__cytoplasmic_membrane_down;1;
HLA_DP_DQ_DR_TCR_CD3_complex;1;
HLA_DRB1_rna;1;
HMGB1;1;
HOMODIMER_space_STAT1;1;
HOMODIMER_space_STAT3;1;
HRAS_M1_macrophage___Cytoplasm;1;
HRAS_M2_macrophage__cytoplasm;1;
HSPA5;1;
ICAM1_Fibroblast__Cytoplasmic_membrane_down;1;
ICAM1_ITGB2_ITGAL_complex;1;
ICAM1_M1_macrophage__Cytoplasmic_membrane_down;1;
ICAM1_TH1___cytoplasmic_membrane_down;1;
icos;1;
ICOSLG_Fibroblast__Cytoplasmic_membrane_down;1;
icoslg_icos_complex;1;
ICOSLG_M1_macrophage__Cytoplasmic_membrane_down;1;
ICOSLG_M2_macrophage__cytoplasmic_membrane_down;1;
IFNa_M1_macrophage___Extracellular_Space;1;
IFNa_M1_macrophage___Secreted_components;1;
IFNa_rna;1;
IFNa1;1;
IFNa1_B1;1;
IFNA1_B1_IFNAR1_R2_complex;1;
IFNAR1_IFNAR2_complex;1;
IFNAR1_IFNAR2_IFNa_complex;1;
IFNAR1_IFNAR2_IFNb_complex;1;
IFNb_M1_macrophage___Extracellular_Space;1;
IFNb_M1_macrophage___Secreted_components;1;
IFNb_rna;1;
IFNb1;1;
IFNB1_rna;1;
IFNE;1;
IFNE_IFNAR1_IFNAR2_complex;1;
IFNg_Fibroblast___Extracellular_Space;1;
IFNG_IFNGR1_IFNGR2_complex;1;
IFNG_IFNGR1_R2_complex;1;
IFNg_M1_macrophage___Extracellular_Space;1;
IFNg_M1_macrophage___Secreted_components;1;
IFNg_rna;1;
IFNg_TH1___extracellular_space;1;
IFNg_TH1___secreted_components;1;
IFNGR1_IFNGR2_complex_M1_macrophage__Cytoplasmic_membrane_up;1;
IFNGR1_IFNGR2_complex_TH1___cytoplasmic_membrane_up;1;
IFNGR1_IFNGR2_IFNg_complex;1;
IFNGR1_R2_complex;1;
IGF1;0;
IGF1_IGF1R_complex;0;
igG;0;
IKBA_NFKB1_RELA_complex;1;
IKBKB_phosphorylated;1;
IKK_complex_Fibroblast___Cytoplasm;1;
IKK_complex_M1_macrophage___Cytoplasm;1;
IKK_complex_M2_macrophage__cytoplasm;1;
IKK_complex_TH1___cytoplasm;1;
IKK1_IKK2_complex_Fibroblast___Cytoplasm;0,25;
IKK1_IKK2_complex_M1_macrophage___Cytoplasm;1;
IKK1_IKK2_complex_M2_macrophage__cytoplasm;1;
IKK1_phosphorylated_Fibroblast___Cytoplasm;0,5;
IKK1_phosphorylated_M1_macrophage___Cytoplasm;1;
IKK1_phosphorylated_M2_macrophage__cytoplasm;1;
IKK2_phosphorylated_Fibroblast___Cytoplasm;0,5;
IKK2_phosphorylated_M1_macrophage___Cytoplasm;1;
IKK2_phosphorylated_M2_macrophage__cytoplasm;1;
IKKE_TBK1_complex;0,5;
IKKE_TBK1_TRAF3_complex;0;
IL1_IL1R_complex;1;
IL10_Fibroblast___Extracellular_Space;1;
IL10_IL10RA_IL10RB_complex;1;
IL10_M2_macrophage__extracellular_space;1;
IL10_M2_macrophage__secreted_components;1;
IL10_rna;1;
IL10_TH1___extracellular_space;1;
IL10R1_IL10R2_complex;1;
IL10R1_IL10R2_IL10_complex;1;
IL10RA_IL10RB_complex_Fibroblast__Cytoplasmic_membrane_up;1;
IL10RA_IL10RB_complex_TH1___cytoplasmic_membrane_up;1;
IL10RA_IL10RB_IL10_complex;1;
IL11;1;
IL11_IL11Ra_IL6ST_complex;1;
IL11Ra_IL6ST_IL11_complex;1;
IL12_M1_macrophage___Extracellular_Space;1;
IL12_M1_macrophage___Secreted_components;1;
IL12_rna;1;
IL12_TH1___extracellular_space;1;
IL12_TH1___secreted_components;1;
IL12A;1;
IL12B;1;
IL12RB_complex;1;
IL12RB_IL12_complex;1;
IL12Rb1_IL12Rb2_complex;1;
IL12Rb1_IL12Rb2_IL12_complex;1;
IL15_M1_macrophage___Secreted_components;1;
IL15_M2_macrophage__secreted_components;1;
IL17A_Fibroblast___Extracellular_Space;1;
IL17A_Fibroblast___secreted_components;1;
IL17A_IL17RA_complex;1;
IL17F;1;
IL17Ra_IL17Rc_IL17F_complex;1;
IL18_Fibroblast___Extracellular_Space;1;
IL18_Fibroblast___secreted_components;1;
IL18_IL18R_complex;1;
IL18_IL18R1_complex;1;
IL18_IL18R1_IL18RAP_complex;1;
IL18_M1_macrophage___Cytoplasm;1;
IL18_M1_macrophage___Extracellular_Space;1;
IL18_M1_macrophage___Secreted_components;1;
IL18_M2_macrophage__cytoplasm;1;
IL18_M2_macrophage__cytoplasm_active;1;
IL18_TH1___extracellular_space;1;
IL18_TH1___secreted_components;1;
IL18R1_IL18RAP_complex;1;
IL1A;1;
IL1A_IL1R1_complex;1;
IL1B_Fibroblast___Extracellular_Space;1;
IL1B_Fibroblast___secreted_components;1;
IL1B_IL1R1_complex;1;
IL1B_M1_macrophage___Cytoplasm;1;
IL1B_M1_macrophage___Extracellular_Space;1;
IL1B_M1_macrophage___Secreted_components;1;
IL1B_M2_macrophage__cytoplasm;1;
IL1R1;1;
IL1RN_rna;1;
IL2;0,5;
IL23_M1_macrophage___Extracellular_Space;1;
IL23_M1_macrophage___Secreted_components;1;
IL23_M2_macrophage__extracellular_space;1;
IL23_M2_macrophage__secreted_components;1;
IL23R_IL12RB1_complex_M1_macrophage__Cytoplasmic_membrane_up;1;
IL23R_IL12RB1_complex_M2_macrophage__cytoplasmic_membrane_up;1;
